review_text,review_score,filtered_review_text,flan-t5-xl-prefix-1
"So, do you kinda want to duel wield insane weapons and kill mass amounts of Nazi's? Then this is the game for you.  You start out brain dead for 14 years in a nut house only to wake up for the first time and kill a Nazi within seconds of doing so (guess no muscle atrophy occurred, but it makes sense due to your deep voice).  From there you sneak into the capitol of the most Nazi infested city to search for the Nazi resistence blindly, find them and kill mass amounts of Nazis. Then you break into prison only to save a friend and break out killing more mass amounts of Nazis. Then you volunteer yourself into slave labor only to find a dude and then break out (killing mass amounts of Nazis of course). Then, what the heck, you go to their secret moon base to kill mass amounts of more Nazis... returning to Earth to, well, kill mass amounts of more Nazis.  The game ends a little abruptly leaving you to think you probably died in an epic and somewhat frustrating boss fight, but I have a hunch that you'll return in an upcoming DLC or sequel to kill mass amounts of more Nazis.  * For fans of Return to Wolfenstein it is important to note that this game includes none of the occult or undead content - everything is replaced by crazy robotic stuff and half man half machine creeps.",1,kinda want duel wield insane weapons kill mass amounts nazis game start brain dead years nut house wake first time kill nazi within seconds guess muscle atrophy occurred makes sense due deep voice sneak capitol nazi infested city search nazi resistence blindly find kill mass amounts nazis break prison save friend break killing mass amounts nazis volunteer slave labor find dude break killing mass amounts nazis course heck go secret moon base kill mass amounts nazis returning earth well kill mass amounts nazis game ends little abruptly leaving think probably died epic somewhat frustrating boss fight hunch youll return upcoming dlc sequel kill mass amounts nazis fans return wolfenstein important note game includes none occult undead content everything replaced crazy robotic stuff half man half machine creeps,"Nazi Germany, and then you get to play the game for a few years. Then you get to play the game for a few more years, and then you get to play the game for a few more years."
"a fantastic game that is highly addictive, not only are the bosses great fun to kill, but its also fun to do other stuff and there are a ton of helpers",1,fantastic game highly addictive bosses great fun kill also fun stuff ton helpers,i'm a fan of the game and i'm a fan of the series
"It turns boys into men, men into men, &amp; women into men.",1,turns boys men men men amp women men,"It turns boys into men, men into men, &amp; women into men."
One of my favourite game of all time! I highly recommend playing with friends and playing expert mode (if you're up for the challenge). The game still has smaller and bigger (free!) updates that add to the already great experience. Also there is quite a high replay value since there are many different items and playstyles (a complete playthrough at least once a year is a must for me and my friends)!  In my opinion it is a must-have for every Steam-library.,1,one favourite game time highly recommend playing friends playing expert mode youre challenge game still smaller bigger free updates add already great experience also quite high replay value since many different items playstyles complete playthrough least year must friends opinion musthave every steamlibrary,a lot of new features and content.
good game has fun man and the girl is fun game over too many frog manns to apply to my fface,1,good game fun man girl fun game many frog manns apply fface,frog manns to apply to my fface
"Aweosme game. Takes a while to understand it, but when you understand everything the game becomes very addictive.",1,aweosme game takes understand understand everything game becomes addictive,I'm a big fan of the game.
This game feels like halo 4,1,game feels like halo,This game feels like halo 4
What can I say about one of the best game ever???. This game set a story and a world with lore that will last forever. It s a shame that went so wrong in the third part and got so action-wise in the second.  I played on Xbox twice and in pc another. It s really good rol.,1,say one best game ever game set story world lore last forever shame went wrong third part got actionwise second played xbox twice pc another really good rol,I have played the game a few times and it is still one of my favorite games. I have played it on the 360 and it is still one of my favorite games. I have played it on the 360 and it is still one of my favorite games. I have played it on the 360 and it is
"Not a great storyline, but the gameplay was quite satisfying!",1,great storyline gameplay quite satisfying,"Despite the fact that the game is not very good, it is still a good game."
i uninstalled it but now icant install it ,1,uninstalled icant install,i uninstalled it but now icant install it
"Amazing game, looks great has a good feel to it and the gameplay is fun and realistic.",1,amazing game looks great good feel gameplay fun realistic,I'm a big fan of the series and I'm glad that they're making a sequel.
"If you have any idea who/what Cthulhu is, you probably know that he SHOULDN'T be saving the world.   There are a whole bunch of small referances, like Paws, from Ulthar, the actual town of Providence, Nyarlothep, and all those other dudes, who can be found at one point or another.  It's a RPG with a birds eye view of the world, letting you see certain things with ease.",1,idea whowhat cthulhu probably know shouldnt saving world whole bunch small referances like paws ulthar actual town providence nyarlothep dudes found one point another rpg birds eye view world letting see certain things ease,"Cthulhu makes in this movie, but he's not the only one."
"Have you ever wanted to play a Lovecraft themed JRPG? Ask yourself this question and then answer with 'no' because that's ♥♥♥♥ing dumb. Cthulhu is the hero, so subversive! Recommended.",1,ever wanted play lovecraft themed jrpg ask question answer thats ing dumb cthulhu hero subversive recommended,is a ing dumb game.
got arrested on a role player server for-  6 counts of murder with vehicle 3 counts of grand theft 1 count of nudity 1 count of asking the admin for a handjob  3 counts of escaping arrest  11/10 better than gta,1,got arrested role player server counts murder vehicle counts grand theft count nudity count asking admin handjob counts escaping arrest better gta,stealing a car
I've spent more time on this than I've spent contemplating on the important things in life. 10/10,1,ive spent time ive spent contemplating important things life,I've spent more time on this than I've spent contemplating on the important things in life.
Fun Survival game to play with friends 10/10,1,fun survival game play friends,- a fun survival game to play with friends
This game is perfect. I have lost hours just digging and digging. Add in some exploration and surprises (with more digging). Oh did I tell you about the Digging?,1,game perfect lost hours digging digging add exploration surprises digging oh tell digging,I have lost hours just digging and digging. Add in some exploration and surprises (with more digging). Oh did I tell you about the Digging?
A naked boy is crying on poop while on a quest to kill his mother from her own womb.  naked/10- Gamespot Approves,1,naked boy crying poop quest kill mother womb naked gamespot approves,a sexy little game
"Awesome mix of dungeon exploration, side-scroll shooter, and randomizer. Although each game won't always feel unique, it is different enough each time to keep you playing for dozens of playthroughs.",1,awesome mix dungeon exploration sidescroll shooter randomizer although game wont always feel unique different enough time keep playing dozens playthroughs,a long time.
