review_text,review_score,filtered_review_text
"Yeah I recommend this game! Why? Well, because it is a great racing game, of the best. Considering that most programmers from the TOCA development team worked on this game, they succeed to create an immersive racing feeling. It may not be a full simulator, but it really sent you on the track. Cockpit view, bro, that's specifically awesome about it. Still having fun online, but using Gameranger.  TL:DR version: Buy the game, is freaking awesome.",1,yeah recommend game well great racing game best considering programmers toca development team worked game succeed create immersive racing feeling may full simulator really sent track cockpit view bro thats specifically awesome still fun online using gameranger tldr version buy game freaking awesome
This is an amazingly fun and addictive game that everyone loves! Sails the mighty ships on high sea waves as you destroy your foes! Or play seige where you can devastate your enemies fortress or defend your own fortress with your mighty armies! OR EVEN play the classic and amazing land battle where two mighty armies clash with eachother in glory and honour! basiclly this game is amazing so BUY IT!!!,1,amazingly fun addictive game everyone loves sails mighty ships high sea waves destroy foes play seige devastate enemies fortress defend fortress mighty armies even play classic amazing land battle two mighty armies clash eachother glory honour basiclly game amazing buy
"I love this game. This is what an FPS game should look like. It accomodates such a wide range of playing styles, it looks beautiful, and it's paced really well.",1,love game fps game look like accomodates wide range playing styles looks beautiful paced really well
"There's actually a story to this one! Is it good? In my honest opinion, I have no idea. Mainly because I pay more attention to the way my character looks than yo the story. I love making my character look like the Russian Assault class from Battlefield 4! ",1,theres actually story one good honest opinion idea mainly pay attention way character looks yo story love making character look like russian assault class battlefield
"Greed Heads can go rot in hell. Also buy this game, it will hurt you and you will love every minute of it. ",1,greed heads go rot hell also buy game hurt love every minute
Best mil/sim if you can live with a few bugs..,1,best milsim live bugs
APB Reloaded AKA Cancer simulator.  Reasons why cancer  1.Closets 2.Blatants 3.Tryhards 4.Lazy DEVS 5.Bad Servers 6.Broken Matchmaking 7.Broken Rank system 8.ATAC and other unbalaced weapons 9.Still waiting for new engine 10.Addictive as cocain 11.Flamers 12.Fair Fight dosen't work just saying,1,apb reloaded aka cancer simulator reasons cancer closets blatants tryhards lazy devs bad servers broken matchmaking broken rank system atac unbalaced weapons still waiting new engine addictive cocain flamers fair fight dosent work saying
"Worms 2 in 1997 was my introduction to this series, and while I still say that the best one was Worms World Party, I will say that Worms Reloaded is a decent successor. I never liked the 3D worms games but this one is similar to the current generation of Street Fighter games where everything is fully 3D with a 2D perspective. There are a lot of interesting mechanics in this new version that I enjoy so it gets my stamp of approval. Grab it on a sale and enjoy.",1,worms introduction series still say best one worms world party say worms reloaded decent successor never liked worms games one similar current generation street fighter games everything fully perspective lot interesting mechanics new version enjoy gets stamp approval grab sale enjoy
"Great game if you are a Jurassic Park fan. It is very short though, 4 episodes total and i spent 6 hours beating all 4 with some paused time and 17 deaths. So I could see this being a 5 hour game for some. With that said you might want to get this during a sale. full price which i Think is 30 bucks is not worth it at all. but if you can get it on sale it is enjoyable. This is only the second Telltale game ive played with this style of gameplay. The Other being Game Of Thrones. So far through 2 episodes of Game of thrones I would compare the two with Jurassic Park being more difficult but Game of Thrones episodes are longer and It has a better story. Jurrasic park is more in your face action packed just like the movie. Jurassic Park also has a bit more of a puzzle element that so far Game of thrones lacks.   To sum it up get this on sale if you like Jurassic park or the other telltale games of this style. If its not on sale or you are not a fan of the interactive movie type games then I would stay away.",1,great game jurassic park fan short though episodes total spent hours beating paused time deaths could see hour game said might want get sale full price think bucks worth get sale enjoyable second telltale game ive played style gameplay game thrones far episodes game thrones would compare two jurassic park difficult game thrones episodes longer better story jurrasic park face action packed like movie jurassic park also bit puzzle element far game thrones lacks sum get sale like jurassic park telltale games style sale fan interactive movie type games would stay away
"This is the best plataform game that I ever seen, its creative , cheap ( not in quality ) and Its like minecraft but atleast this is funny.",1,best plataform game ever seen creative cheap quality like minecraft atleast funny
"Last good Call of Duty made. Even with some unbalanced weapons like Grenade Launcher, Thumper, RPG, etc. Still beats the most recent COD's. The singleplayer storyline is amazing! 'SOAP!' Had a lot of fun playing this game, unfortunatly Activision doesn´t care about their games. 'Why should we update COD X if we can make COD Y and get a lot of money'",1,last good call duty made even unbalanced weapons like grenade launcher thumper rpg etc still beats recent cods singleplayer storyline amazing soap lot fun playing game unfortunatly activision doesnt care games update cod x make cod get lot money
Nice designed and close to original box version board game. Have 10-th Anniversary edition Ticket To Ride box version. Bought all DLCs on steam and very happy with. Thanks Days of Wonders and developers.,1,nice designed close original box version board game th anniversary edition ticket ride box version bought dlcs steam happy thanks days wonders developers
"When I was a child, I spake as a child, I understood as a child, I thought as a child: but when I became a man, I put away childish things and played ARMA III. ",1,child spake child understood child thought child became man put away childish things played arma iii
I killed a Trex by ramming my helicopter up it's ♥♥♥. 11/10 would do it again.,1,killed trex ramming helicopter would
beep boop I'm hacking your steam account,1,beep boop im hacking steam account
One of my favorite games to play.A ton of replayablity.,1,one favorite games playa ton replayablity
this game is really awsome,1,game really awsome
