review_text,review_score,filtered_review_text
"Its a great game that does not need much Computer power to play, price is good and graphic is okay.  ",1,great game need much computer power play price good graphic okay
What you wished Fable 2 and 3 were actually like.,1,wished fable actually like
you can be a serbian super soldier,1,serbian super soldier
"Not as great as Diablo III, but for the price it's pretty darn close. Dungeon crawling fans will have much to enjoy. The mods are pretty awesome too. Just wish the difficulty was better balanced.",1,great diablo iii price pretty darn close dungeon crawling fans much enjoy mods pretty awesome wish difficulty better balanced
I REALLY want this game SO badly someone please get me it ,1,really want game badly someone please get
Best time-sink I've ever played. People compare it to Minecraft but it's a completely different style of gameplay. The only similarity is that you can mine ♥♥♥♥.   This actually has RPG elements and a linear progression in which you can actually feel like you're getting somewhere.,1,best timesink ive ever played people compare minecraft completely different style gameplay similarity mine actually rpg elements linear progression actually feel like youre getting somewhere
Mirrors edge. A game that puts you on the edge.,1,mirrors edge game puts edge
"This game has been around for a long time... so long that a lot of people think the game is what it was years ago when it first came out... its not  It was the first game I ever bought on steam. and I can honestly say that it was a huge part of the last few years of my life. even if i havnt played it in a year  I would do some pretty crazy things to relive this game for the first time. It was an experience I will never forget and will always remember. And even with that this game has some of the best replayability that ive seen, especially if you play through it with a friend or family member. Which were just as amazing as playing for the first time. That is truly were this game shines. In a co-op style playthrough...   but with that being said, onto the game itself...  The first thing i feel i need to note is the soundtrack. while its not going to nock your socks off, anyone who knows what im talking about knows that when you havnt played this game in forever, and you sit down to play it again. The sound track is what gets you. Its nostalgia factor is through the roof and for the new player is something to experience. Really its almostt required to have music eneabled your first time through...  Now alot of people see this game and immediately come to a conclusion. That it is a 2 dimensional knock off of a certain other blocky game. To that person I say this: You couldnt be more wrong...  That game is survival game and this is in no way a survival game. Yes you chop down trees to build a house and tools. but that is pretty much it. The point of the game is to defeat bosses and get loot. its so much closer to a immersive deungon crawler than a survival game. There is no hunger, there is no thirst. There is only health and mana for your magic weapons. Yes there is mining but not that kind of mining. When you go underground your searching for rare monsters and chests with loot. and deungons. Real deungons not a square with a monster copy and paster. There are 18 bosses and 12 events. there are 360 waepons and 270 accesories. Its all about becming stronger and beating enemies and exploring.  Im not trying to bash minecraft at all. 9 year old me loved that game. Im just trying to say that these 2 games are completely different and have nothing to do with eachother.  The games great, get it on sale or at regualar price since its dirt cheap and I promise you wont regret it.",1,game around long time long lot people think game years ago first came first game ever bought steam honestly say huge part last years life even havnt played year would pretty crazy things relive game first time experience never forget always remember even game best replayability ive seen especially play friend family member amazing playing first time truly game shines coop style playthrough said onto game first thing feel need note soundtrack going nock socks anyone knows im talking knows havnt played game forever sit play sound track gets nostalgia factor roof new player something experience really almostt required music eneabled first time alot people see game immediately come conclusion dimensional knock certain blocky game person say couldnt wrong game survival game way survival game yes chop trees build house tools pretty much point game defeat bosses get loot much closer immersive deungon crawler survival game hunger thirst health mana magic weapons yes mining kind mining go underground searching rare monsters chests loot deungons real deungons square monster copy paster bosses events waepons accesories becming stronger beating enemies exploring im trying bash minecraft year old loved game im trying say games completely different nothing eachother games great get sale regualar price since dirt cheap promise wont regret
"This game was amazing, had me addicted day 1  Gameplay was amazing and very original moments, for a platformer   Every character had a great personality, they were funny and were all around fantastic   The story is deep and gave me the feels and kept me on edge the entire game  The game has amazing visuals   I really hope the creator makes more, because its open for more!  10/10 recommend af, buy it",1,game amazing addicted day gameplay amazing original moments platformer every character great personality funny around fantastic story deep gave feels kept edge entire game game amazing visuals really hope creator makes open recommend af buy
It is the best game i think ,1,best game think
Amazing software with no limits! Create whatever you want with all the wonderfull addons from Workshop or other sites. No limits!,1,amazing software limits create whatever want wonderfull addons workshop sites limits
