review_text,review_score,filtered_review_text
"This game is great. I use it for custom zombies, and now I have about 50 hours into it XD best 20 bucks I've ever spent. If you have it on xbox or ps3 and are debating getting it for custom zombies, do it. So worth it.",1,game great use custom zombies hours xd best bucks ive ever spent xbox ps debating getting custom zombies worth
This is honestly still my favorite Call of Duty if anyone wants to play with me check out the Out*tact 1 server ,1,honestly still favorite call duty anyone wants play check outtact server
This game is awesome for zombies. There are just infinite maps to download. Add my on Waw: MasterYB,1,game awesome zombies infinite maps download add waw masteryb
thnx for this game i love it,1,thnx game love
"Killed a enemy in a palm tree with a flamethrower. And then sniping an enemy in another palm tree. The body ended up hanging in the tree by his foot. ps: this has got to be like the best Call of Duty ever, besides Modern Warfare 1. pps: 10/10 Singleplayer,Multiplayer, Co-op, And Zombies.",1,killed enemy palm tree flamethrower sniping enemy another palm tree body ended hanging tree foot ps got like best call duty ever besides modern warfare pps singleplayermultiplayer coop zombies
Even after 14 years this game is still going strong (and is full of hackers) I rate 8/8,1,even years game still going strong full hackers rate
check out this hot game!,1,check hot game
Gaming has its own classics. Oldschool!,1,gaming classics oldschool
"Yes , this is awsome game",1,yes awsome game
"Hands down one of the best Call of Duty's. The campaign is very well made and I didn't get bored while playing. This is also the game with the classic zombies. I am a huge zombie game fan and I have to say COD zombies suits my needs, but WaW has a special feeling to it. This is the ORIGINAL COD zombies, you can't get better than the original. This game is a 10/10 in my book. I highy recommend this to any COD fan who like to play more classic and old games. Also to anyone who is a fan of classic zombies.",1,hands one best call dutys campaign well made didnt get bored playing also game classic zombies huge zombie game fan say cod zombies suits needs waw special feeling original cod zombies cant get better original game book highy recommend cod fan like play classic old games also anyone fan classic zombies
The original Will never get old  One of the best fps,1,original never get old one best fps
best game ever even it's graphics are low as compared to now. &lt;3 1.6,1,best game ever even graphics low compared lt
"Steam Awards Nomination 2016 (review for the badge)   When I saw the The “Just 5 More Minutes” award category :: instant flashback &amp; cold sweat..   Year; 2005, clock; around 7 pm. Tomorrow is school day and I'm at a local Internet Cafe playing with some friends ::  Counter Strike 1.6  :: time flies, u know how, its CS. Cell phone rings; constantly. 'Yes, I'm coming home, just need to finish the match, 5 minutes top'. I'm losing .. big time. I skipped some calls later (big mistake) for the sake of the match. Long story short, I was late and there were consequences. Left in hurry after and didn't pay the net fee, not that day at least. Time; 1+ am, game-over.",1,steam awards nomination review badge saw minutes award category instant flashback amp cold sweat year clock around pm tomorrow school day im local internet cafe playing friends counter strike time flies u know cs cell phone rings constantly yes im coming home need finish match minutes top im losing big time skipped calls later big mistake sake match long story short late consequences left hurry didnt pay net fee day least time gameover
"The classic 1.6 CS ... its just the best for me . Far better than CS source and still better than CS GO. Totally worth giving it a try. Still lots of people play this version of CS . All the community ... all the mods and free skins . all the game modes (zombie , laser , classic, prison etc) Its just the best out of all CS games",1,classic cs best far better cs source still better cs go totally worth giving try still lots people play version cs community mods free skins game modes zombie laser classic prison etc best cs games
"If you like counter strike source but hate the gun physics, try this game. Still a bunch of people playing after all these years",1,like counter strike source hate gun physics try game still bunch people playing years
Where is Hitler?,1,hitler
plz delete my cfg of CS16 in cloud can't do nothing  black screen,1,plz delete cfg cs cloud cant nothing black screen
"World at war is a first person shooter that includes 3 modes solo campaign, multiplayer and for the first time ever zombies. This game offers you the abilty to uncover the events of WW2 after that you can enjoy a ame of multiplayer where you fight to win against the enemy team and lets not forget the awesome badass Nazi zombie mode where you can play from 4 kick ♥♥♥ zombies maps developed by Treyarch or grab some friends download and play a custom zombies map, if you are looking for a game to play with friends that keeps you on your toes at all times and that still offers that fun feeling of playing a co op game then this is the game for you. Happy gaming",1,world war first person shooter includes modes solo campaign multiplayer first time ever zombies game offers abilty uncover events ww enjoy ame multiplayer fight win enemy team lets forget awesome badass nazi zombie mode play kick zombies maps developed treyarch grab friends download play custom zombies map looking game play friends keeps toes times still offers fun feeling playing co op game game happy gaming
game is better than black ops 2 there is 2 resons y world at war is better 1 world at war includes really powerfull guns and 2 it never lags me black ops 2 lags me more than world at war in world at war i have only 4 to 1 ping and this game is worth buying also u dont even have to unlock zombies u can play nazi zombies right away when u get the game also u can have custom maps to wich is the best thing the way to get custom maps is copy and paste this website on the  internethttp://www.zombiemodding.com/index.php?action=downloads;sa=view;down=1491  &lt;---copy and paste that on internet for custom maps  ,1,game better black ops resons world war better world war includes really powerfull guns never lags black ops lags world war world war ping game worth buying also u dont even unlock zombies u play nazi zombies right away u get game also u custom maps wich best thing way get custom maps copy paste website internethttpwwwzombiemoddingcomindexphpactiondownloadssaviewdown ltcopy paste internet custom maps
Shooting game Very good,1,shooting game good
Play It Every One Knows It  It's A Good Game,1,play every one knows good game
"Counter-Strike: Ok, after 9 years of unlimited fun with friends, I have finally quit counter strike. Counter strike, in all of its versions, its just a great FPS game that anyone can enjoy it. Its a great game and all, you just cant stop playing it, you can just sit and play with your friends for days with out stoping. The huge weaoponary option you can choose and the smooth and sound of the game, its just f*cking addicting. With this games I've met so many different people and unique friends. This game is literally G(OLD). To all the young players who are looking for a good cheep and fun game to play with their friends, I highlly recommend on this. I've got (with steam record) 2,484hrs record in counter strike IN TOTTAL,,, and who knows how many more hrs in a non official steam version of this game.... Great Game. GG WP. And too all the people who will keep playing this game, all I can say, as always, GL &amp; HF &lt;3",1,counterstrike ok years unlimited fun friends finally quit counter strike counter strike versions great fps game anyone enjoy great game cant stop playing sit play friends days stoping huge weaoponary option choose smooth sound game fcking addicting games ive met many different people unique friends game literally gold young players looking good cheep fun game play friends highlly recommend ive got steam record hrs record counter strike tottal knows many hrs non official steam version game great game gg wp people keep playing game say always gl amp hf lt
Old time classic we'll remember you,1,old time classic well remember
bought it 4 custom maps..worth it,1,bought custom mapsworth
"One of The best COD's ever made. Countless hours of fun can be put into this game thanks to user created content! If you have never played WaW you should get it. Not only is the campaign just amazing, but the zombies is outstanding! 9.5/10.",1,one best cods ever made countless hours fun put game thanks user created content never played waw get campaign amazing zombies outstanding
The classic which is Counter-Strike.  A game that has been a platform for many competitive FPS games. Also a platform to E-Sports becoming prevalent in popular culture.   Buy this game and reminisce of what CS once was.   It is perfect and it works every time.,1,classic counterstrike game platform many competitive fps games also platform esports becoming prevalent popular culture buy game reminisce cs perfect works every time
still a good game mainly becasue of custom zombies ,1,still good game mainly becasue custom zombies
"Counter Strike is a classic game. Fun, addictive, and customizable. It's incredibly easy to mod, texture and map for so you could expect a whole lotta mods.  Pros: -Great gameplay, bit of a learning curve but it'll become second instinct soon enough -Servers are still up, even for such an old game it still has a whole crap-ton of servers.  -Modding community is GREAT -Cheap, as in really freakin cheap, not indie game cheap, but still very cheap Cons -Most people who you will play with have been playing for longer than I have been alive. Expect to get pwned very very often -Netcode is a ♥♥♥♥♥, adjusting settings using the console takes a hell of a while -People are sometimes way too serious when playing -For Graphics junkies: Graphics are pretty damn old-looking (what the hell do you expect it's GoldSrc)  While it's not a perfect game it still provided me with tons of fun and I love playing it. It's a bit slower than CSGO and the weapons behave differently.   Conclusion: If you want a nice classic shooter that's light on the pocket and the computer then this along with Half-Life should be in your library",1,counter strike classic game fun addictive customizable incredibly easy mod texture map could expect whole lotta mods pros great gameplay bit learning curve itll become second instinct soon enough servers still even old game still whole crapton servers modding community great cheap really freakin cheap indie game cheap still cheap cons people play playing longer alive expect get pwned often netcode adjusting settings using console takes hell people sometimes way serious playing graphics junkies graphics pretty damn oldlooking hell expect goldsrc perfect game still provided tons fun love playing bit slower csgo weapons behave differently conclusion want nice classic shooter thats light pocket computer along halflife library
"Haha, this game always reminds me of how many lessons I have missed in school.",1,haha game always reminds many lessons missed school
"This game carries my dearest memories from all my past accounts, and is essentially all I have left of my childhood.",1,game carries dearest memories past accounts essentially left childhood
Have been playing since 6.5 and there are still 12 year olds flaming me in voicechat 10/10 for tryhard authenticity,1,playing since still year olds flaming voicechat tryhard authenticity
Great cod to get into. Explains alot of PTSD and reoccuring people in the Tryarch line of games.,1,great cod get explains alot ptsd reoccuring people tryarch line games
 http://i76.photobucket.com/albums/j8/guv_is/fullteam0lpju3.gif ,1,httpiphotobucketcomalbumsjguvisfullteamlpjugif
takes me a bit to do much since i got this yesterday for my bday present... anybody wanna play? add me on here &lt;3 gotta be 17+ :/ i also have skype &lt;3 ill be happy to play ^_^,1,takes bit much since got yesterday bday present anybody wanna play add lt gotta also skype lt ill happy play
The others always kill you and your team mates only just fooling around and show to everyone how many mocking word they know.    I cannot recommend this game no-one.,-1,others always kill team mates fooling around show everyone many mocking word know cannot recommend game noone
CS 1.6  It will search for you. It will find you. And someone in the game will probably kill you. If you are noob that is.  10/10 Would kill noobs again.,1,cs search find someone game probably kill noob would kill noobs
"This game will always have a place in my heart,I grew up with this one.It also doesn't require a good PC,you don't need to worry about ranks too,simple as that and don't be put off by the graphics...By the way you can still find surf/bhop servers so it's worth it!",1,game always place hearti grew oneit also doesnt require good pcyou dont need worry ranks toosimple dont put graphicsby way still find surfbhop servers worth
